ProtID,Predicted Compartment,Score
Sequence_38,nuclear_speckle,2.4722647e-05
Sequence_38,p-body,0.0110233575
Sequence_38,pml-body,7.4865486e-05
Sequence_38,post_synaptic_density,7.914048e-16
Sequence_38,stress_granule,1.7568436e-07
Sequence_38,chromosome,0.90459627
Sequence_38,nucleolus,0.08235778
Sequence_38,nuclear_pore_complex,5.9094515e-07
Sequence_38,cajal_body,8.446931e-10
Sequence_38,rna_granule,7.4337054e-17
Sequence_38,cell_junction,0.0019219114
Sequence_38,transcriptional,1.7697838e-07
Sequence_39,nuclear_speckle,2.8592536e-08
Sequence_39,p-body,5.9734197e-07
Sequence_39,pml-body,4.5841322e-08
Sequence_39,post_synaptic_density,1.1214501e-05
Sequence_39,stress_granule,1.0121303e-07
Sequence_39,chromosome,1.2905429e-11
Sequence_39,nucleolus,5.933573e-16
Sequence_39,nuclear_pore_complex,7.841465e-07
Sequence_39,cajal_body,3.5222763e-13
Sequence_39,rna_granule,8.8944375e-33
Sequence_39,cell_junction,0.999987
Sequence_39,transcriptional,2.4544516e-07
Sequence_40,nuclear_speckle,1.04962544e-17
Sequence_40,p-body,0.32858676
Sequence_40,pml-body,9.120409e-06
Sequence_40,post_synaptic_density,0.0029392936
Sequence_40,stress_granule,0.070220515
Sequence_40,chromosome,1.9597128e-06
Sequence_40,nucleolus,1.4460223e-13
Sequence_40,nuclear_pore_complex,0.08958179
Sequence_40,cajal_body,2.2832926e-10
Sequence_40,rna_granule,3.110574e-29
Sequence_40,cell_junction,0.50864565
Sequence_40,transcriptional,1.4947635e-05
Sequence_41,nuclear_speckle,1.9156148e-12
Sequence_41,p-body,0.4294622
Sequence_41,pml-body,3.182602e-07
Sequence_41,post_synaptic_density,3.8366784e-06
Sequence_41,stress_granule,1.9832619e-12
Sequence_41,chromosome,7.618546e-05
Sequence_41,nucleolus,3.4098288e-05
Sequence_41,nuclear_pore_complex,0.54741454
Sequence_41,cajal_body,1.9414137e-09
Sequence_41,rna_granule,2.3134846e-32
Sequence_41,cell_junction,0.023008807
Sequence_41,transcriptional,1.902021e-11
Sequence_42,nuclear_speckle,3.5146356e-12
Sequence_42,p-body,0.8402296
Sequence_42,pml-body,2.0998751e-11
Sequence_42,post_synaptic_density,6.488838e-20
Sequence_42,stress_granule,0.01620673
Sequence_42,chromosome,0.13851696
Sequence_42,nucleolus,0.0024510592
Sequence_42,nuclear_pore_complex,0.0024072868
Sequence_42,cajal_body,1.0122687e-09
Sequence_42,rna_granule,1.0770013e-21
Sequence_42,cell_junction,0.00018842892
Sequence_42,transcriptional,2.236438e-09
Sequence_43,nuclear_speckle,1.4349041e-06
Sequence_43,p-body,0.90801764
Sequence_43,pml-body,5.631724e-08
Sequence_43,post_synaptic_density,1.7371103e-11
Sequence_43,stress_granule,0.064275
Sequence_43,chromosome,0.014575644
Sequence_43,nucleolus,1.3447707e-06
Sequence_43,nuclear_pore_complex,0.012693468
Sequence_43,cajal_body,9.774433e-10
Sequence_43,rna_granule,7.776383e-16
Sequence_43,cell_junction,0.00043551586
Sequence_43,transcriptional,2.625442e-08
Sequence_44,nuclear_speckle,8.141301e-06
Sequence_44,p-body,0.0013684316
Sequence_44,pml-body,3.984587e-06
Sequence_44,post_synaptic_density,8.7647464e-07
Sequence_44,stress_granule,0.10494492
Sequence_44,chromosome,1.0654566e-05
Sequence_44,nucleolus,7.743214e-05
Sequence_44,nuclear_pore_complex,5.669704e-06
Sequence_44,cajal_body,0.0026384832
Sequence_44,rna_granule,1.7742473e-10
Sequence_44,cell_junction,0.8909412
Sequence_44,transcriptional,1.6627256e-07
Sequence_45,nuclear_speckle,0.00074504735
Sequence_45,p-body,0.022981917
Sequence_45,pml-body,0.00020607536
Sequence_45,post_synaptic_density,4.831802e-10
Sequence_45,stress_granule,0.0013380059
Sequence_45,chromosome,0.9424504
Sequence_45,nucleolus,0.00067139335
Sequence_45,nuclear_pore_complex,0.031392053
Sequence_45,cajal_body,0.00014825082
Sequence_45,rna_granule,1.5386188e-07
Sequence_45,cell_junction,4.712474e-05
Sequence_45,transcriptional,1.965295e-05
Sequence_46,nuclear_speckle,6.638114e-16
Sequence_46,p-body,4.558298e-11
Sequence_46,pml-body,6.43271e-10
Sequence_46,post_synaptic_density,1.1912459e-11
Sequence_46,stress_granule,2.5356517e-06
Sequence_46,chromosome,0.88099366
Sequence_46,nucleolus,2.5048125e-10
Sequence_46,nuclear_pore_complex,1.1429003e-06
Sequence_46,cajal_body,3.4288121e-12
Sequence_46,rna_granule,8.02162e-30
Sequence_46,cell_junction,0.11900256
Sequence_46,transcriptional,2.0445036e-11
Sequence_47,nuclear_speckle,5.66178e-10
Sequence_47,p-body,1.0425257e-08
Sequence_47,pml-body,1.46364e-06
Sequence_47,post_synaptic_density,5.2310895e-10
Sequence_47,stress_granule,4.2467904e-14
Sequence_47,chromosome,0.40107438
Sequence_47,nucleolus,0.00052451954
Sequence_47,nuclear_pore_complex,0.0012224789
Sequence_47,cajal_body,1.4373147e-07
Sequence_47,rna_granule,4.0781902e-25
Sequence_47,cell_junction,0.59717697
Sequence_47,transcriptional,4.2341126e-12
Sequence_48,nuclear_speckle,4.7562197e-12
Sequence_48,p-body,0.0028073764
Sequence_48,pml-body,2.1111719e-08
Sequence_48,post_synaptic_density,2.5514604e-08
Sequence_48,stress_granule,0.09538927
Sequence_48,chromosome,1.7215902e-05
Sequence_48,nucleolus,1.0113919e-11
Sequence_48,nuclear_pore_complex,7.590587e-07
Sequence_48,cajal_body,1.3942283e-09
Sequence_48,rna_granule,6.796728e-21
Sequence_48,cell_junction,0.9017736
Sequence_48,transcriptional,1.1734547e-05
Sequence_49,nuclear_speckle,7.113063e-05
Sequence_49,p-body,0.006811307
Sequence_49,pml-body,0.30698553
Sequence_49,post_synaptic_density,3.0613028e-05
Sequence_49,stress_granule,0.00018515252
Sequence_49,chromosome,0.001495578
Sequence_49,nucleolus,0.0323008
Sequence_49,nuclear_pore_complex,7.8654e-06
Sequence_49,cajal_body,0.6252704
Sequence_49,rna_granule,4.85997e-07
Sequence_49,cell_junction,0.026839606
Sequence_49,transcriptional,1.4919159e-06
Sequence_50,nuclear_speckle,1.1483676e-05
Sequence_50,p-body,0.40935585
Sequence_50,pml-body,0.14443487
Sequence_50,post_synaptic_density,3.7424927e-21
Sequence_50,stress_granule,0.15599954
Sequence_50,chromosome,0.06280211
Sequence_50,nucleolus,1.4533694e-09
Sequence_50,nuclear_pore_complex,0.20508634
Sequence_50,cajal_body,4.4960047e-06
Sequence_50,rna_granule,2.873709e-20
Sequence_50,cell_junction,0.019012494
Sequence_50,transcriptional,0.0032927792
Sequence_51,nuclear_speckle,1.826049e-08
Sequence_51,p-body,7.564773e-06
Sequence_51,pml-body,5.7461733e-08
Sequence_51,post_synaptic_density,6.3624656e-10
Sequence_51,stress_granule,5.9753913e-09
Sequence_51,chromosome,0.8825173
Sequence_51,nucleolus,0.0048358464
Sequence_51,nuclear_pore_complex,9.476001e-09
Sequence_51,cajal_body,2.2921123e-09
Sequence_51,rna_granule,7.530616e-16
Sequence_51,cell_junction,0.112639196
Sequence_51,transcriptional,1.0613518e-10
Sequence_52,nuclear_speckle,6.399471e-08
Sequence_52,p-body,8.258213e-06
Sequence_52,pml-body,0.0002023225
Sequence_52,post_synaptic_density,0.023115918
Sequence_52,stress_granule,0.10794153
Sequence_52,chromosome,0.010230763
Sequence_52,nucleolus,1.90197e-11
Sequence_52,nuclear_pore_complex,0.008082334
Sequence_52,cajal_body,3.007713e-08
Sequence_52,rna_granule,3.2202115e-17
Sequence_52,cell_junction,0.8504139
Sequence_52,transcriptional,4.905248e-06
Sequence_53,nuclear_speckle,1.0400263e-09
Sequence_53,p-body,0.8663489
Sequence_53,pml-body,2.0908857e-08
Sequence_53,post_synaptic_density,0.022689063
Sequence_53,stress_granule,0.106755055
Sequence_53,chromosome,8.088701e-08
Sequence_53,nucleolus,7.548755e-11
Sequence_53,nuclear_pore_complex,0.004199943
Sequence_53,cajal_body,1.1938912e-09
Sequence_53,rna_granule,2.6325517e-23
Sequence_53,cell_junction,6.9891703e-06
Sequence_53,transcriptional,4.8585353e-08
Sequence_54,nuclear_speckle,2.5274768e-10
Sequence_54,p-body,5.670729e-06
Sequence_54,pml-body,1.3521147e-07
Sequence_54,post_synaptic_density,0.98681647
Sequence_54,stress_granule,4.1116965e-10
Sequence_54,chromosome,7.6786506e-07
Sequence_54,nucleolus,0.00034895024
Sequence_54,nuclear_pore_complex,0.0065762647
Sequence_54,cajal_body,0.006251672
Sequence_54,rna_granule,1.3287417e-23
Sequence_54,cell_junction,1.7697066e-07
Sequence_54,transcriptional,3.5649626e-12
Sequence_55,nuclear_speckle,7.05955e-06
Sequence_55,p-body,2.2704866e-07
Sequence_55,pml-body,0.0012911184
