ProtID,experiment,cajal_body,cell_junction,chromosome,nuclear_pore_complex,nuclear_speckle,nucleolus,p-body,pml-body,post_synaptic_density,rna_granule,stress_granule,transcriptional
design_8,original+LLPhyScore features,5.083357e-07,5.630955e-07,0.00077311846,0.42603153,2.3133916e-06,2.2558568e-09,0.13874789,3.970319e-07,3.032175e-08,3.470007e-15,0.43444365,4.1570773e-09
design_80,original+LLPhyScore features,0.00018348124,4.0822665e-09,0.016783077,0.05381001,1.788312e-09,0.001517701,0.24934399,2.8154302e-11,3.3113155e-13,1.7055208e-13,0.6783617,7.858025e-08
design_81,original+LLPhyScore features,0.050030082,3.9986494e-07,0.010463513,0.9385207,4.048541e-11,1.5437405e-05,0.00096776953,2.448508e-10,6.793424e-07,3.2594562e-17,1.4009105e-06,2.2122917e-10
design_82,original+LLPhyScore features,0.013663782,0.7322122,5.2947084e-06,0.21761453,9.559296e-09,3.7272126e-05,0.0034200624,4.1704076e-09,0.0007011513,2.831392e-17,0.032345507,6.42489e-08
design_83,original+LLPhyScore features,0.00018743683,2.2378468e-07,0.20586273,0.1583466,9.779782e-06,0.089829125,0.51748997,4.087663e-06,8.1609075e-15,2.1244556e-10,0.0282698,5.595514e-08
design_84,original+LLPhyScore features,0.00019452948,5.969773e-11,0.0001508091,0.010063846,4.5769983e-08,3.5456972e-06,0.20489432,1.1243193e-08,6.666293e-08,2.0808535e-12,0.7846927,1.2148426e-07
design_85,original+LLPhyScore features,1.3222794e-07,4.021558e-09,0.022999605,0.066700295,3.570817e-12,1.4308034e-08,0.6507476,4.74536e-11,3.6354423e-20,1.2754796999999999e-19,0.25955242,1.1367938e-08
design_86,original+LLPhyScore features,0.000118759395,1.3465656e-07,0.0014148266,0.07687469,1.3353809e-05,3.5308265e-08,0.6833582,6.3779885e-07,8.558837e-05,7.698742e-13,0.23813367,1.1747441e-07
design_87,original+LLPhyScore features,2.1099459e-07,0.001239042,3.709736e-08,6.017471e-05,8.036709e-10,6.704123e-07,0.54756534,1.5055537e-08,1.0540856e-07,2.3968544e-15,0.45113406,3.7689426e-07
design_88,original+LLPhyScore features,2.4693896e-05,5.115973e-07,0.016591467,0.815644,4.5634042e-07,1.1926368e-09,0.16406232,2.4634335e-09,1.0094856e-10,1.04865665e-17,0.0036764827,1.0706337e-09
design_89,original+LLPhyScore features,1.4197414e-06,2.3140237e-05,7.709496e-05,0.5166107,1.1995508e-07,4.2271457e-09,0.48327807,2.2120249e-08,1.3081807e-09,6.552491e-20,9.447771e-06,9.390356e-10
design_9,original+LLPhyScore features,0.00010320051,1.06483554e-13,0.00434327,0.097456396,1.0213298e-08,0.8761504,3.057417e-05,5.9108695e-12,6.0758495e-08,3.819441e-15,0.021916006,3.46589e-13
design_90,original+LLPhyScore features,1.1844663e-05,2.9748992e-10,2.6051475e-05,0.027400324,0.00021801442,4.678274e-09,0.029503107,2.488931e-07,5.4558996e-06,5.768113300000001e-16,0.9428349,5.776787e-09
design_91,original+LLPhyScore features,1.577157e-06,7.108376e-14,0.0024611277,0.004152398,4.764144e-10,3.681779e-06,0.6353907,5.813239e-07,2.8582395e-10,7.4418536e-12,0.3579899,1.883775e-08
design_92,original+LLPhyScore features,3.8860005e-08,3.1776437e-08,0.0025056873,0.24511914,1.265706e-07,1.1606556e-07,0.54555684,7.933423e-10,2.9602715e-10,2.400153e-16,0.20681804,1.3172957e-10
design_93,original+LLPhyScore features,2.2404728e-07,1.4319987e-10,0.03244465,0.0015585542,4.76545e-07,8.8983375e-05,0.3880332,1.6185052e-08,2.2189131e-10,1.4602006e-10,0.5778739,4.9687865e-10
design_94,original+LLPhyScore features,0.00010413526,1.4183786e-07,0.00022253426,0.22414216,4.687255e-05,5.708375e-09,0.39583927,2.7241214e-07,0.0001344419,1.1767119e-13,0.3795097,4.939203e-07
design_95,original+LLPhyScore features,8.030452e-06,7.1927078e-09,9.924044e-05,0.0037319523,6.4545948e-06,8.8652837e-07,0.4645093,2.6733096e-07,7.285447e-10,1.1194219e-11,0.53162295,2.0897094e-05
design_96,original+LLPhyScore features,1.2332822e-07,0.15140799,4.2994772e-05,0.011573022,0.0024876362,7.148283e-10,0.68959224,3.488892e-08,6.1065954e-17,5.5290264e-17,0.14488943,6.5532276e-06
design_97,original+LLPhyScore features,2.6504203e-08,1.7960316e-06,0.0029637266,0.0039179907,1.9072545e-06,2.6966656e-08,0.51943254,2.6102302e-06,1.1515591e-09,1.2920763e-12,0.47367942,1.31856845e-08
design_98,original+LLPhyScore features,0.7754696,1.3566306e-07,0.000120454446,0.11336786,1.727558e-07,0.046800762,0.037973057,1.8888493e-08,4.5035958e-11,4.2546433e-10,0.026267864,3.8344176e-08
design_99,original+LLPhyScore features,7.245619e-08,2.6406478e-06,0.0025713746,0.011912818,4.6941757e-08,7.829021e-07,0.51768845,6.221753e-07,1.3077143e-08,5.116067e-12,0.46782312,6.7752e-08
,,,,,,,,,,,,,
